Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score	group	trait
L2_8	0.1229873251158038	0.1350693386142595	0.0110573541391476	1.0982378752207136	0.0899064527888232	0.2679391320723457	-1.0699092138604944e-08	3.207781357705566e-09	-3.335355794404173	d8	102_irnt
L2_9	0.1136643058841409	0.1544295073942927	0.0168703157673111	1.358645585287822	0.1484222829329304	0.0176491931429208	-1.297182178335931e-10	3.9628161581569014e-09	-0.0327338470058941	d9	102_irnt
L2_10	0.099503636792778	0.11273288929995	0.0140596605718589	1.1329524521271783	0.1412979567886443	0.3467135409843483	-2.945729811018133e-09	4.616042295507842e-09	-0.6381505242889144	d10	102_irnt
L2_1	0.1414330669589588	0.1966821673708586	0.0241895547635857	1.390637787893916	0.1710318193877891	0.0221336852030613	5.620702011017668e-10	1.396932925391603e-09	0.4023601927373867	d1	1021
L2_2	0.1552238415381975	0.2113987297341639	0.0282543023867826	1.3618960054028997	0.1820229554093971	0.0446538152456492	1.0049531693032602e-09	1.4615585958343766e-09	0.6875900645841373	d2	1021
L2_3	0.1518350709987772	0.1970404636045604	0.0267128884584199	1.2977269500940745	0.1759335855853424	0.0911886726027262	4.965639088603962e-10	1.4165091794585883e-09	0.3505546706377084	d3	1021
L2_4	0.1399867039278771	0.1918698629882386	0.0270308451210182	1.3706291926631289	0.1930958038339475	0.0477921698079644	1.1844164889946215e-09	1.5085072721891614e-09	0.78515795769137	d4	1021
L2_5	0.1340074975352947	0.1655689487773044	0.024607137210882	1.2355200404641322	0.1836250781744584	0.1964674971262134	3.227074810174177e-10	1.5784258345901647e-09	0.2044489351007158	d5	1021
L2_6	0.1335780508454815	0.1320695680434578	0.024750616162448	0.988707105752212	0.1852895442461476	0.951363253188998	-1.169881967917819e-09	1.4455775775731715e-09	-0.8092834214278636	d6	1021
L2_7	0.1226353801332928	0.1384810580911262	0.0243104254699022	1.1292096778320468	0.1982333763998545	0.520352208538482	1.0792721197903966e-10	1.579687772415607e-09	0.0683218632590925	d7	1021
L2_8	0.1229873251158038	0.1095838748850284	0.0244928929976173	0.8910176295146283	0.1991497333123962	0.5776369738890248	-1.7727790840262344e-09	1.4812920394821483e-09	-1.1967789178466042	d8	1021
L2_9	0.1136643058841409	0.1081321506302126	0.023588472257688	0.9513290015638918	0.2075275265546602	0.813038257705478	-9.310307288279647e-10	1.5574611085895283e-09	-0.5977874655702492	d9	1021
L2_10	0.099503636792778	0.0772305302811384	0.0202218294490145	0.7761578648826212	0.2032270387375656	0.2634765273470857	-1.2595062702185807e-09	1.5523332363839375e-09	-0.8113633340432248	d10	1021
L2_1	0.1414330669589588	0.1992977316300586	0.0142793431181278	1.4091310887565704	0.1009618431188476	3.865716340744265e-05	1.0833451304736906e-09	8.542612562906584e-10	1.2681660586806331	d1	1031
L2_2	0.1552238415381975	0.166686498061845	0.0145870753625508	1.0738459788783592	0.0939744514631231	0.4322103707776514	-8.14994065681392e-10	8.399357545512268e-10	-0.9703052421156174	d2	1031
L2_3	0.1518350709987772	0.1409630575224653	0.0126348609973773	0.9283959008627232	0.0832143780370679	0.3894930230487565	-1.639735415392513e-09	8.315933368709364e-10	-1.971799607681321	d3	1031
L2_4	0.1399867039278771	0.1644084250354876	0.0160710785234029	1.1744574336159304	0.1148043212138416	0.1272790276059184	7.922612379182805e-10	9.57480220300532e-10	0.827443973380053	d4	1031
L2_5	0.1340074975352947	0.1270753459915081	0.0145273678682584	0.9482704201534632	0.1084071274775674	0.6313061431334668	-1.031961719919756e-09	9.532023381141815e-10	-1.082626089610095	d5	1031
L2_6	0.1335780508454815	0.1347250439386259	0.0149609226503487	1.008586688351001	0.1120013546810547	0.9389544409819968	1.486638714667856e-11	9.579042066772075e-10	0.0155197012843771	d6	1031
L2_7	0.1226353801332928	0.1117542173819339	0.0128692492571717	0.9112722385698798	0.1049391231403536	0.396747813958283	-3.8515805200845557e-10	9.226775753909165e-10	-0.4174351499171022	d7	1031
L2_8	0.1229873251158038	0.1051652061460649	0.0116726403663648	0.8550897911393898	0.0949092953714867	0.1258850197895216	-6.83842768700364e-10	8.302948043711238e-10	-0.8236144139409804	d8	1031
L2_9	0.1136643058841409	0.0882532385961872	0.0109988795687701	0.7764375800274937	0.0967663461560342	0.0208590378720726	-8.544882332109949e-10	8.271957068596812e-10	-1.0329940377168123	d9	1031
L2_10	0.099503636792778	0.0648330328657295	0.0117873978070397	0.6515644548826697	0.1184619797524348	0.0030807282051654	-1.3249554921673583e-09	1.0097595889906778e-09	-1.312149452813555	d10	1031
L2_1	0.1414330669589588	0.2222123392790391	0.0137859232334543	1.5711484171061705	0.0974731265458219	4.8290692221498656e-09	2.824606822286956e-09	1.3686047525404275e-09	2.063858697731301	d1	1050
L2_2	0.1552238415381975	0.2009493199850865	0.0113518766439373	1.2945776756571057	0.0731323006275676	0.0001049642331689	6.562927284148158e-10	1.0635577356616874e-09	0.6170729678408162	d2	1050
L2_3	0.1518350709987772	0.1799659277102512	0.0126877749603851	1.1852724573211453	0.0835628743538922	0.0283044520006079	-3.1945534786180876e-10	1.215126693688661e-09	-0.2628987985541361	d3	1050
L2_4	0.1399867039278771	0.1667772084876768	0.0112546343325857	1.19137892248397	0.0803978807757645	0.0189674616439619	1.875753178504033e-11	1.217311941575414e-09	0.015408977062005	d4	1050
L2_5	0.1340074975352947	0.1448814912491613	0.0111182295949297	1.0811446666333175	0.0829672204870582	0.3331178859748019	-1.514633693894939e-09	1.2402286546115943e-09	-1.2212535876050057	d5	1050
L2_6	0.1335780508454815	0.1347310427996443	0.0118017385148312	1.0086315973834392	0.0883508813022218	0.922238894526093	-1.600410655758394e-09	1.2065006664315315e-09	-1.3264896574752258	d6	1050
L2_7	0.1226353801332928	0.1216062233376363	0.0105757139800729	0.9916079944096232	0.0862370546621878	0.9225572875385508	-1.4942889414641831e-09	1.3149199832375632e-09	-1.1364105500815207	d7	1050
L2_8	0.1229873251158038	0.1217158713636023	0.0105309370452175	0.9896619123067824	0.085626197946022	0.9038086827151012	-1.1907768947505288e-09	1.146538203681187e-09	-1.038584576534218	d8	1050
L2_9	0.1136643058841409	0.1010135860268707	0.0092909069464283	0.888701032757238	0.0817398819634605	0.1763583370826076	-2.0053645199612144e-09	1.1229062412181475e-09	-1.785869956324903	d9	1050
L2_10	0.099503636792778	0.0770996322712049	0.0085781832087066	0.7748423550766224	0.0862097455449911	0.0089808046522457	-1.91509938394166e-09	1.1902272985177059e-09	-1.6090198790825088	d10	1050
L2_1	0.1414330669589588	0.1863059649456873	0.0164066237997432	1.3172730320537398	0.1160027435769613	0.0048168097888133	2.8706377220788333e-10	1.0555405473299801e-09	0.2719590194180786	d1	1060
L2_2	0.1552238415381975	0.1803635157538017	0.0166576799694722	1.1619575573345016	0.1073139268066184	0.1264820490599812	-9.617380429041156e-11	9.915760006674036e-10	-0.0969908551897983	d2	1060
L2_3	0.1518350709987772	0.2010832397143744	0.0160695852876984	1.3243530522404392	0.1058357939439953	0.0018218991112475	1.463717663091433e-09	9.229445953949803e-10	1.5859214847723604	d3	1060
L2_4	0.1399867039278771	0.1630467405938888	0.0136474968741043	1.1647301923609297	0.0974913794751227	0.0956522049633797	2.5701670813932663e-10	9.655024518659019e-10	0.2661999538609391	d4	1060
L2_5	0.1340074975352947	0.1494264515290837	0.013419620226525	1.1150603830187036	0.1001408165464068	0.2541407112382814	-3.1694609824679315e-10	9.247581941174051e-10	-0.342734025243527	d5	1060
L2_6	0.1335780508454815	0.1362612775087467	0.0140250414511633	1.0200873320600334	0.1049951048274171	0.8486190892963602	-6.029443971652641e-10	9.768673899406756e-10	-0.617222361370749	d6	1060
L2_7	0.1226353801332928	0.1290315787912926	0.0131390410189945	1.0521562264580395	0.1071390736075813	0.6281344103760507	-7.436733060467139e-11	9.949057876990552e-10	-0.0747481133632388	d7	1060
L2_8	0.1229873251158038	0.1158195606958015	0.013240456469073	0.94171948683937	0.1076570813830281	0.5892599866087098	-1.071936959729748e-09	9.762592201246786e-10	-1.0980044414769785	d8	1060
L2_9	0.1136643058841409	0.1068747063071237	0.0118355427836323	0.9402662117697884	0.1041271724801309	0.5645592123297566	-7.29213415742421e-10	9.882976262476548e-10	-0.7378479886783512	d9	1060
L2_10	0.099503636792778	0.0895200218426023	0.0121468883335289	0.8996658285870781	0.1220748178162126	0.4115200141150902	-7.333134218259113e-11	1.1220483297955607e-09	-0.0653548873389012	d10	1060
L2_1	0.1414330669589588	0.2157221400131933	0.0095392518977171	1.5252595779160452	0.0674471119295269	3.8979794805602185e-13	4.4054581190487205e-09	1.3896878049452498e-09	3.170106338540032	d1	1070
L2_2	0.1552238415381975	0.1843625422984298	0.0090657515948445	1.1877205232874088	0.0584043759322477	0.001802590504358	-7.28040828513034e-10	1.257176929963323e-09	-0.5791076905414372	d2	1070
L2_3	0.1518350709987772	0.1748818177952029	0.0091577191200708	1.1517880331916948	0.0603135959289972	0.0122832778578886	-8.843086846522057e-10	1.3629547221396946e-09	-0.6488173600249424	d3	1070
L2_4	0.1399867039278771	0.1691572668658507	0.0085718931434497	1.208380954186925	0.0612336236437578	0.0008230016318487	7.07097181361795e-10	1.2073108305491336e-09	0.5856794815964491	d4	1070
L2_5	0.1340074975352947	0.1454579409011999	0.0094252632022134	1.085446289024906	0.0703338497887481	0.2278543530836642	-1.844005762240861e-09	1.5028104533648914e-09	-1.227038152490895	d5	1070
L2_6	0.1335780508454815	0.1482751152986635	0.0100880684807148	1.1100260436513112	0.0755219021153736	0.1491606949432459	6.998347923974478e-11	1.59171209249956e-09	0.043967423235345	d6	1070
L2_7	0.1226353801332928	0.1206673726126703	0.0085970489822881	0.9839523674286856	0.0701025183184814	0.8186317159537643	-2.073560653561191e-09	1.4618608852790695e-09	-1.4184391103434906	d7	1070
L2_8	0.1229873251158038	0.1182070735068093	0.0083606869342453	0.9611321605336696	0.0679800697053372	0.5676283659515482	-2.1812298852684562e-09	1.400303074940286e-09	-1.5576841358871338	d8	1070
L2_9	0.1136643058841409	0.0967305822864104	0.0076755888658265	0.8510198653305355	0.0675285772971713	0.0284860610633638	-3.5682345067147122e-09	1.444454605893945e-09	-2.4702988187755475	d9	1070
L2_10	0.099503636792778	0.0713716652300859	0.0069318092213912	0.7172769511804019	0.069663878073393	6.298801301035191e-05	-4.103231865321547e-09	1.458786116068904e-09	-2.812771399537872	d10	1070
L2_1	0.1414330669589588	0.2101152155303684	0.0113184443771081	1.4856159174667394	0.0800268609065275	4.266890499915098e-09	3.21186705669259e-09	1.630472476330381e-09	1.9698995863587785	d1	1080
L2_2	0.1552238415381975	0.1848382742889445	0.0106538630519934	1.1907853359205745	0.068635481163322	0.0059565069624454	-6.204020481015044e-10	1.4290590598410661e-09	-0.4341332458089611	d2	1080
L2_3	0.1518350709987772	0.1782882964697399	0.0113215302996865	1.1742234208272984	0.0745646590422954	0.0217108688785159	-2.8238423075531287e-10	1.4821632798714087e-09	-0.190521675034219	d3	1080
L2_4	0.1399867039278771	0.1436300161260748	0.0101195371459809	1.0260261303107387	0.0722892736384069	0.7188987609725561	-2.762971794833688e-09	1.4503849995041967e-09	-1.9049919819759509	d4	1080
L2_5	0.1340074975352947	0.1410511630431383	0.0093890039451466	1.052561727048059	0.070063273457321	0.4560913955296197	-2.151418751630679e-09	1.453869448720813e-09	-1.479788129204864	d5	1080
L2_6	0.1335780508454815	0.1372011162626376	0.0086954000305421	1.0271232091966	0.0650960242008671	0.6774255818647571	-1.2300686930994514e-09	1.3175429818341214e-09	-0.9336080189103968	d6	1080
L2_7	0.1226353801332928	0.1296974599198828	0.0107216335111014	1.057585990102646	0.0874269195353581	0.5097752578033498	2.3946976575401523e-10	1.8415170518475054e-09	0.1300393963301978	d7	1080
L2_8	0.1229873251158038	0.1212105886827808	0.0097735470712839	0.9855534996687662	0.0794679212844194	0.855737848045846	-1.0062833997708044e-09	1.541313625624361e-09	-0.6528738752719294	d8	1080
L2_9	0.1136643058841409	0.0961995537267604	0.0076904121020107	0.8463479627880492	0.0676589897082527	0.0237162438611453	-2.793321104455393e-09	1.4073363569733266e-09	-1.9848283536586944	d9	1080
L2_10	0.099503636792778	0.0741991658544129	0.0069491507248127	0.7456930042560845	0.0698381581698843	0.0003521214468897	-2.727030443124987e-09	1.4135172444581007e-09	-1.9292516266191344	d10	1080
L2_1	0.1414330669589588	0.179924936219395	0.0190995437462951	1.2721560812338593	0.1350429864597183	0.0440822837711157	3.292129397304338e-12	1.0425062599275835e-09	0.0031578989247824	d1	1090
L2_2	0.1552238415381975	0.1413480362906142	0.0219585137163839	0.9106077706228608	0.1414635374230216	0.5273835360456909	-1.896448989524234e-09	1.1128207573841143e-09	-1.7041818971657023	d2	1090
L2_3	0.1518350709987772	0.1758847066055024	0.0234960611959426	1.1583931528369944	0.1547472599142255	0.306817164362854	3.158308831161216e-10	1.2380590224756247e-09	0.2551016368222782	d3	1090
L2_4	0.1399867039278771	0.1329622029248235	0.0201062197273005	0.9498202271647694	0.1436294959674133	0.7278236710942985	-8.618320190618426e-10	1.0804862166113971e-09	-0.7976335151823649	d4	1090
L2_5	0.1340074975352947	0.1391560091801114	0.0188180041410873	1.038419579049752	0.1404250096986629	0.7851509187149267	-2.567479827845571e-10	1.092404237619895e-09	-0.2350301966458438	d5	1090
L2_6	0.1335780508454815	0.1358481690142433	0.0164495043757841	1.0169946945204922	0.1231452642980421	0.8906511963764636	1.7530894700168459e-10	9.815814121688143e-10	0.1785984787694152	d6	1090
L2_7	0.1226353801332928	0.1205921018828599	0.0196646414028361	0.9833385908029794	0.1603504745650284	0.9170669444906512	2.7549941607402057e-10	1.295523647332104e-09	0.2126548725230617	d7	1090
L2_8	0.1229873251158038	0.1081147709338172	0.0200989905717637	0.8790724640284462	0.163423267827304	0.4562267417261579	-5.123071752920621e-10	1.3021744738616103e-09	-0.3934243725211494	d8	1090
L2_9	0.1136643058841409	0.113046437949615	0.0181755214361665	0.9945640988195912	0.1599052692469083	0.9728633231015869	1.024188521596412e-09	1.2671315986207074e-09	0.8082732075431291	d9	1090
L2_10	0.099503636792778	0.0335416024530982	0.0167065620477502	0.3370892113516471	0.1678990093853821	2.866733161402075e-05	-3.767450845940654e-09	1.2004144504807414e-09	-3.138458425281257	d10	1090
L2_1	0.1414330669589588	0.2063684041461132	0.0120282654987941	1.459124153802006	0.0850456386007986	5.2807685712057e-08	1.9875878853080774e-09	1.0265340518562475e-09	1.936212327018269	d1	1100
L2_2	0.1552238415381975	0.186266338803469	0.0142436645293006	1.1999853692426017	0.0917620926537598	0.0278520213108348	3.336454505709263e-11	1.132250048016685e-09	0.0294674706488517	d2	1100
L2_3	0.1518350709987772	0.1552538473442901	0.012526945975638	1.0225163812485745	0.0825036395954854	0.7854799182140308	-1.6169533468075276e-09	1.032899010593918e-09	-1.565451540008522	d3	1100
L2_4	0.1399867039278771	0.1480032124693676	0.0116564173926398	1.057266213980013	0.0832680323600258	0.4922479761310742	-8.667284674878501e-10	1.0373388379375187e-09	-0.8355307212936486	d4	1100
L2_5	0.1340074975352947	0.1493321189147638	0.0120406984741094	1.1143564476713916	0.0898509314446245	0.2038071130477913	-8.567425856261999e-12	1.0909283383385719e-09	-0.0078533351414353	d5	1100
L2_6	0.1335780508454815	0.1492768811642264	0.0112029807171607	1.117525523238131	0.0838684248366518	0.1659550340985191	9.076862239535727e-10	1.0988160731632828e-09	0.8260583787608026	d6	1100
L2_7	0.1226353801332928	0.1158692166244121	0.0113762750668136	0.9448269862944398	0.0927650328514394	0.5522304825637478	-7.505422489037838e-10	1.1298046504736043e-09	-0.6643115237569284	d7	1100
L2_8	0.1229873251158038	0.1052288736551796	0.0119112133943444	0.8556074665100412	0.0968491133791951	0.1355326485996308	-1.7334154230051183e-09	1.2063221548148286e-09	-1.4369423757049364	d8	1100
L2_9	0.1136643058841409	0.1042462124008083	0.0108392329727356	0.917141151656417	0.0953618014769222	0.3856139346806465	-2.6885657981741007e-10	1.1785043801659087e-09	-0.2281337128162058	d9	1100
L2_10	0.099503636792778	0.0780446053841121	0.0087202953229672	0.7843392251746986	0.0876379557978138	0.0125134516469158	-6.042795429987631e-10	1.0258316273306451e-09	-0.5890630849149988	d10	1100
L2_1	0.1414330669589588	0.1974757515431537	0.0213807099159287	1.3962488107569455	0.1511719315408255	0.0105634687749641	1.1143482439174538e-09	1.1341886771285326e-09	0.9825069376805016	d1	110001
L2_2	0.1552238415381975	0.1945912453144203	0.023312924531274	1.2536169919911129	0.150189070829929	0.0969601101618391	8.337465528315887e-10	1.1589558496840094e-09	0.7193945766432006	d2	110001
L2_3	0.1518350709987772	0.1558388237775468	0.0218997187445914	1.026369090832788	0.1442335990001138	0.8552856011730242	-6.764448571264625e-10	1.0659392118976335e-09	-0.6345998435710274	d3	110001
L2_4	0.1399867039278771	0.1577704207230345	0.0217219224700038	1.1270386136409056	0.1551713259938974	0.4161506121342592	5.357033226482663e-10	1.091698879368635e-09	0.4907061212319656	d4	110001
L2_5	0.1340074975352947	0.1199559027630188	0.0205507198943285	0.8951432193667003	0.1533550008193827	0.4895860383155063	-1.0067882136251514e-09	1.0931165458592867e-09	-0.9210255003813216	d5	110001
L2_6	0.1335780508454815	0.158558946675003	0.0215171885012118	1.1870134776739525	0.1610832645409852	0.2409816265393381	1.6782932085626461e-09	1.1539077276593016e-09	1.454443165890793	d6	110001
L2_7	0.1226353801332928	0.0967422031691976	0.0197372194453844	0.788860466400872	0.1609422943357127	0.1822825489874357	-8.195404219126166e-10	1.1564549089289548e-09	-0.708666127477145	d7	110001
L2_8	0.1229873251158038	0.0411246307557431	0.0208927033250263	0.334381048754581	0.1698768820718229	9.144960285853794e-06	-4.262682667944556e-09	1.1410992806125322e-09	-3.735593160357076	d8	110001
