Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score	group	trait
L2_7	0.1226353801332928	0.1402449662308663	0.0086495367199941	1.143593032275299	0.0705305166469325	0.043252290543257	1.3650348988244706e-11	4.7569382199891414e-09	0.0028695661698704	d7	BDSCZvsCONT
L2_8	0.1229873251158038	0.1276922572078786	0.00890001100932	1.038255422561997	0.0723652701686116	0.5970206957154628	-6.403839950673701e-09	4.892820698401332e-09	-1.308823753293489	d8	BDSCZvsCONT
L2_9	0.1136643058841409	0.1043347708806521	0.0074198978922294	0.9179202746990904	0.0652790498698215	0.2118516347348657	-1.2762993895807271e-08	4.655245116874964e-09	-2.741637352143336	d9	BDSCZvsCONT
L2_10	0.099503636792778	0.0796660751555495	0.0070933639550552	0.8006348081674508	0.0712874843944405	0.0060474178179937	-1.201911782278297e-08	4.764408598604781e-09	-2.5226882988798804	d10	BDSCZvsCONT
L2_1	0.1414330669589588	0.2208515761199548	0.0188990716912039	1.5615271652423524	0.1336255523376871	1.9246208477696984e-05	1.041728748287823e-08	6.635739867711453e-09	1.569875807454002	d1	BDvsCONT
L2_2	0.1552238415381975	0.2310819796604747	0.0175126141152697	1.4887015897207394	0.112821677016415	8.691082591541428e-06	1.1439297138891205e-08	5.724957124842572e-09	1.9981454689419649	d2	BDvsCONT
L2_3	0.1518350709987772	0.2008686907454729	0.0155050994484094	1.3229400126344362	0.1021180373310087	0.0023833495260949	3.3206295664673117e-09	5.490551167174797e-09	0.6047898408304908	d3	BDvsCONT
L2_4	0.1399867039278771	0.2071399196867462	0.0156006238253882	1.4797113859718225	0.1114436113405877	1.3878902638495854e-05	1.0046614529935346e-08	5.363139087399945e-09	1.8732712999255727	d4	BDvsCONT
L2_5	0.1340074975352947	0.1609856688565638	0.0130785270532287	1.2013183726094403	0.097595487519526	0.0377024076529585	-4.301968143211147e-09	5.096431101242673e-09	-0.8441138627700057	d5	BDvsCONT
L2_6	0.1335780508454815	0.1609879714512437	0.0130583975315588	1.2051977883512393	0.0977585572547716	0.0407813139939733	-1.9510608659590036e-10	4.967524230860461e-09	-0.0392763230793752	d6	BDvsCONT
L2_7	0.1226353801332928	0.1480153695113253	0.012808011076166	1.2069548718358996	0.1044397714774066	0.0498721515985706	2.0888012568911067e-10	5.076828079693867e-09	0.0411438249257607	d7	BDvsCONT
